| N/A   66C    P0   118W / 149W |   2603MiB / 11441MiB |     65%      Default |
| N/A   66C    P0   124W / 149W |   2747MiB / 11441MiB |     65%      Default |
| N/A   67C    P0   129W / 149W |   2919MiB / 11441MiB |     86%      Default |
| N/A   67C    P0   120W / 149W |   2804MiB / 11441MiB |     86%      Default |
| N/A   67C    P0   111W / 149W |   3070MiB / 11441MiB |     76%      Default |
| N/A   67C    P0   122W / 149W |   3223MiB / 11441MiB |     76%      Default |
| N/A   67C    P0    96W / 149W |   3152MiB / 11441MiB |     81%      Default |
| N/A   67C    P0   100W / 149W |   3623MiB / 11441MiB |     75%      Default |
| N/A   67C    P0   112W / 149W |   4405MiB / 11441MiB |     75%      Default |
| N/A   67C    P0   103W / 149W |   3158MiB / 11441MiB |     91%      Default |
| N/A   67C    P0   104W / 149W |   5652MiB / 11441MiB |     88%      Default |
| N/A   67C    P0   132W / 149W |   4405MiB / 11441MiB |     71%      Default |
| N/A   67C    P0    89W / 149W |   2846MiB / 11441MiB |     98%      Default |
| N/A   67C    P0    83W / 149W |   5028MiB / 11441MiB |     74%      Default |
| N/A   67C    P0    92W / 149W |   4093MiB / 11441MiB |     87%      Default |
| N/A   66C    P0    90W / 149W |   3469MiB / 11441MiB |     97%      Default |
| N/A   66C    P0    80W / 149W |   3469MiB / 11441MiB |     97%      Default |
| N/A   66C    P0    87W / 149W |   3469MiB / 11441MiB |     20%      Default |
| N/A   66C    P0    84W / 149W |   3234MiB / 11441MiB |     77%      Default |
| N/A   66C    P0    81W / 149W |   2764MiB / 11441MiB |     30%      Default |
| N/A   66C    P0    90W / 149W |   2993MiB / 11441MiB |     77%      Default |
| N/A   67C    P0   119W / 149W |   2879MiB / 11441MiB |     52%      Default |
| N/A   66C    P0    94W / 149W |   2726MiB / 11441MiB |     57%      Default |
| N/A   66C    P0   100W / 149W |   2843MiB / 11441MiB |     53%      Default |
| N/A   66C    P0   101W / 149W |   2651MiB / 11441MiB |     53%      Default |
| N/A   66C    P0   112W / 149W |   2565MiB / 11441MiB |     58%      Default |
| N/A   66C    P0   110W / 149W |   2565MiB / 11441MiB |     58%      Default |
| N/A   67C    P0   119W / 149W |   2728MiB / 11441MiB |     69%      Default |
| N/A   67C    P0   125W / 149W |   2804MiB / 11441MiB |     80%      Default |
| N/A   67C    P0   118W / 149W |   3034MiB / 11441MiB |     74%      Default |
| N/A   67C    P0   116W / 149W |   2764MiB / 11441MiB |     80%      Default |
| N/A   67C    P0   106W / 149W |   3529MiB / 11441MiB |     77%      Default |
| N/A   67C    P0   105W / 149W |   3305MiB / 11441MiB |     83%      Default |
| N/A   67C    P0   103W / 149W |   3934MiB / 11441MiB |     83%      Default |
| N/A   67C    P0    97W / 149W |   4405MiB / 11441MiB |     84%      Default |
| N/A   67C    P0   109W / 149W |   3469MiB / 11441MiB |     91%      Default |
